text,id
"EXPERIMENTS WITH A VIRUS DISEASE OF THE COTTON BOLLWORM HELIOTHIS ARMIGERA (HBN . Laboratory tests with a nuclear polyhedral virus disease of Heliothis armigera indicated that it was more infective and had a shorter incubation period in the younger instars than in the older larvae. Larvae on cotton plants sprayed with an aqueous suspension of the virus became infected; mortality depended on the number of polyhedra applied to the plant irrespective of the concentration in the suspension. Spraying with the virus seems unlikely to control bollworm in Uganda, but might do so where it is not already endemic and where bollworm numbers fluctuate more during the year.",1
"PECTIC ENZYMES SECRETED BY VERTICILLIUM DAHLIAE AND THEIR ROLE IN THE DEVELOPMENT OF THE WILT DISEASE OF COTTON . An isolate of Verticillium dahliae obtained from Uganda was highly virulent to young cotton plants under greenhouse conditions. A hyaline variant which often appeared in culture was as virulent as the parent isolate, but preliminary experiments indicated that it did not survive as long in unsterile soil. The parent isolate grew rapidly in cotton plants after root inoculation and was isolated from stems and leaves well before the appearance of disease symptoms visible to the naked eye. Protopectinase was produced in the absence of pectic materials, but more active preparations were obtained when media contained pectic substances. In general, there was a close correspondence between the protopectinase activity of culture filtrates and the toxicity of these filtrates to parenchymatous cells. Some separation of the two activities was obtained by heating enzyme solutions or by plasmolysing the test tissue. Protopectinase solutions had little pectinesterase activity but rapidly reduced the viscosity of solutions of pectic substances. In general, the properties of protopectinase and the viscosity-reducing enzyme were similar. Young cotton shoots wilted rapidly when placed in cell-free filtrates from cultures of the pathogen. Wilting was delayed under conditions unfavourable for transpiration. Evidence was obtained which showed that wilting was caused by the uptake of thermostable compounds of high molecular weight which impeded the upward flow of the vascular sap. Pronounced vascular browning was obtained only when solutions containing protopectinase were used. Wilting and vascular browning were obtained with solutions having little pectinesterase activity; in contrast, a solution having high pectinesterase activity produced relatively little vascular browning.",2
"VASCULAR INFECTION OF COTTON BY XANTHOMONAS MALVACEARUM (E. F. SMITH) DOWSON . Cotton seedlings raised under glass from seed pre-soaked in a water suspension of Xanthomonas malvacearum, and watered by sub-irrigation only, developed atypical dull green flaccid areas extending from the periphery of the cotyledons. Later symptoms that variably developed were : vascular discoloration, not necessarily continuous, in the petioles of affected cotyledons, in the hypocotyl, and in parts of the plant above the cotyledonary node; premature withering of cotyledons; dull green flaccid areas in true leaves, not necessarily the lowest, later turning brown and drying, with usually a chlorotic margin; parenchymatous attack in stems, petioles and leaves. Evidence is adduced, from the progression of symptoms and from associations between them, and from isolations of the pathogen from various parts of the plant at different stages, that the course of this type of infection is primarily vascular, progressing from the edges of cotyledons into the hypocotyl and thence upwards in vascular tissues. Thence the infection may break out at any time into parenchymatous tissues, leading to the more characteristic forms of the disease, of greater or less severity according to the susceptibility of the parenchyma at the time of its invasion. Similar symptoms have been observed in field plantings, and it is suggested that vascular infection is of greater and wider significance in the epidemiology of bacterial blight than has hitherto been commonly accepted.",3
"Chemical composition and anti-termitic activity of essential oil from Canarium schweinfurthii Engl . An essential oil extract from resin of Canarium schweinfurthii from Saw Bay Area, Southern Uganda, was prepared by steam distillation. The chemical composition of the oil was analyzed by gas chromatography mass spectroscopy. Monoterpenes were the main constituents. The oil's composition was found to be different from previously reported C. schweinfurthii oils from Central African Republic, Cameroon and Gabon. The oil was tested for anti-termitic activity against Macrotermes bellicosus and found to be highly potent with an LC50 (48 h) of 1.12 mg/g. Commercial samples of some of the oil's major constituents (gamma-terpinene, alpha-phellandrene,p-cymene and sabinene) were tested individually and showed high anti-termitic activity. (C) 2015 Flsevier B.V. All rights reserved.",4
"The impact of maternal infection with Mycobacterium tuberculosis on the infant response to bacille Calmette-Guerin immunization . Bacille Calmette Guerin (BCG) immunization provides variable protection against tuberculosis. Prenatal antigen exposure may have lifelong effects on responses to related antigens and pathogens. We therefore hypothesized that maternal latent Mycobacterium tuberculosis infection (LTBI) influences infant responses to BCG immunization at birth. We measured antibody (n = 53) and cellular (n = 31) responses to M. tuberculosis purified protein derivative (PPD) in infants of mothers with and without LTBI, in cord blood and at one and six weeks after BCG. The concentrations of PPD-specific antibodies declined between birth (median [interquartile range (IQR)]) 5600 ng ml(-1) [3300-11 050] in cord blood) and six weeks (0.00 ng ml(-1) [0-288]). Frequencies of PPD-specific IFN-gamma-expressing CD4(+)T cells increased at one week and declined between one and six weeks (p = 0.031). Frequencies of IL-2-and TNF-alpha-expressing PPD-specific CD4+T cells increased between one and six weeks (p = 0.019, p = 0.009, respectively). At one week, the frequency of PPD-specific CD4+T cells expressing any of the three cytoldnes, combined, was lower among infants of mothers with LTBI, in crude analyses (p = 0.002) and after adjusting for confounders (mean difference, 95% CI 0.041% (-0.082, -0.001)). In conclusion, maternal LTBI was associated with lower infant anti-mycobacterial T-cell responses immediately following BCG immunization. These findings are being explored further in a larger study.",5
"Vaccines against human papillomavirus in low and middle income countries: a review of safety, immunogenicity and efficacy . Currently, there is limited data on the immunogenicity and efficacy of human papillomavirus vaccines in Low and Middle income countries (LMIC). The review aims to summarize the current status from published HPV vaccine safety, immunogenicity and efficacy studies in low and middle income countries (LMIC). Electronic databases (PubMed/MEDLINE and HINARI) were searched for peer reviewed English language articles on HPV vaccination in LMIC that have so far been published from 1st January 2006 up to 30th January 2015. Eligible studies were included if they had used the bivalent (bHPV) or quadrivalent HPV (qHPV) vaccines in a LMIC and investigated safety, immunogenicity and/or efficacy. The main findings were extracted and summarized. A total of fourteen HPV vaccine studies assessing safety, Immunogenicity and efficacy of the bivalent or quadrivalent vaccines in LMIC were included. There are only ten published clinical trials where a LMIC has participated. There was no published study so far that assessed efficacy of the HPV vaccines in Sub-Saharan Africa. From these studies, vaccine induced immune response was comparable to that from results of HICs for all age groups. Studies assessing HPV vaccine efficacy of the bivalent or quadrivalent vaccine within LMIC were largely missing. Only three studies were found where a LMIC was part of a multi center clinical trial. In all the studies, there were no vaccine related serious adverse events. The findings from the only study that investigated less than three doses of the bivalent HPV-16/18 vaccine suggest that even with less than three doses, antibody levels were still comparable with older women where efficacy has been proven. The few studies from LMIC in this review had comparable safety, Immunogenicity and efficacy profiles like in HIC. Overall, the LMIC of Africa where immune compromising/modulating situations are prevalent, there is need for long term immunogenicity as well as surveillance studies for long term clinical effectiveness after two and three dose regimens.",6
"Occurrence of porcine cysticercosis in free-ranging pigs delivered to slaughter points in Arapai, Soroti district, Uganda . Poverty, hunger and the need for production of pigs with meagre or zero inputs have made most farmers release their pigs to range freely, thus creating a pig-human cycle that maintains Taenia solium, the pig tapeworm and cause of porcine cysticercosis, in the ecosystem. A preliminary study was designed to establish the prevalence of porcine cysticercosis by postmortem examination of the tongue and carcass of free-range pigs from February to April 2014 in Arapai subcounty, Soroti district, eastern Uganda. The tongue of each pig was extended and examined before deep incisions were made and the cut surfaces were examined. The rest of the carcasses were examined for cysts. Out of 178 pigs examined, 32 were qualitatively positive for porcine cysticercosis, representing a prevalence of 18.0%. This high prevalence represents a marked risk to the communities in the study area of neurocysticercosis, a debilitating parasitic zoonosis. Proper human waste disposal by use of pit latrines, confinement of free-range pigs and treatment with albendazole and oxfendazole are recommended.",7
"Infection and exposure to vector-borne pathogens in rural dogs and their ticks, Uganda . Background: In rural parts of Africa, dogs live in close association with humans and livestock, roam freely, and usually do not receive prophylactic measures. Thus, they are a source of infectious disease for humans and for wildlife such as protected carnivores. In 2011, an epidemiological study was carried out around three conservation areas in Uganda to detect the presence and determine the prevalence of vector-borne pathogens in rural dogs and associated ticks to evaluate the risk that these pathogens pose to humans and wildlife. Methods: Serum samples (n = 105), blood smears (n = 43) and blood preserved on FTA cards (n = 38) and ticks (58 monospecific pools of Haemaphysalis leachi and Rhipicephalus praetextatus including 312 ticks from 52 dogs) were collected from dogs. Dog sera were tested by indirect immunofluorescence to detect the presence of antibodies against Rickettsia conorii and Ehrlichia canis. Antibodies against R. conorii were also examined by indirect enzyme immunoassay. Real time PCR for the detection of Rickettsia spp., Anaplasmataceae, Bartonella spp. and Babesia spp. was performed in DNA extracted from FTA cards and ticks. Results: 99 % of the dogs were seropositive to Rickettsia spp. and 29.5 % to Ehrlichia spp. Molecular analyses revealed that 7.8 % of the blood samples were infected with Babesia rossi, and all were negative for Rickettsia spp. and Ehrlichia spp. Ticks were infected with Rickettsia sp. (18.9 %), including R. conorii and R. massiliae; Ehrlichia sp. (18.9 %), including E. chaffeensis and Anaplasma platys; and B. rossi (1.7 %). Bartonella spp. was not detected in any of the blood or tick samples. Conclusions: This study confirms the presence of previously undetected vector-borne pathogens of humans and animals in East Africa. We recommend that dog owners in rural Uganda be advised to protect their animals against ectoparasites to prevent the transmission of pathogens to humans and wildlife.",8
"Phenotypic expression and prevalence of ESBL-producing Enterobacteriaceae in samples collected from patients in various wards of Mulago Hospital, Uganda . Background: Resistance to extended-spectrum cephalosporins among Enterobacteriaceae has been reported yet they serve as the last line treatment for severe infections in Uganda and other countries. This resistance often leads to nosocomial infection outbreaks and therapeutic failures from multidrug resistant bacteria. The main objective of this study was to determine the prevalence of extended-spectrum beta-lactamase (ESBL)-producing Enterobacteriaceae in clinical samples of patients in various wards of Mulago Hospital; Uganda's main national referral and teaching hospital. Methods: This cross-sectional study was conducted between January-April, 2014. Purposive consecutive sampling was used to collect pus swab, urine, blood and CSF samples from patients in the various wards. A total of 245 consecutive, non-repetitive, clinical samples were obtained and tested for phenotypic ESBL production using the Double Disc Synergy Test using cefotaxime, ceftazidime, cefotaxime-clavulanic acid and ceftazidime-clavulanic acid. Results: Results show that 47 % of the 245 samples had Enterobacteriaceae isolates. Of these isolates 62 % were ESBL producers while 38 % were of non-ESBL phenotype. E. coli was the most isolated organism (53.9 %), followed by K. pneumoniae (28.7 %). Majority of Enterobacteriaceae organisms were isolated from urine samples, followed by pus samples and of these 64.9 % and 47.4 % were ESBL-producers respectively. Klebsiella pneumoniae had the highest percentage of ESBL producers (72.7 %). There was a higher percentage of isolates showing resistance to ceftazidime (73 %) compared to cefotaxime (57.5 %). All Enterobacter cloacae isolates showed resistance to ceftazidime. There were no statistically significant association between phenotype (ESBL/non-ESBL) and patients' age or gender or Enterobacteriaceae spp. Conclusions: This study reveals a high prevalence of ESBL producing organisms in Mulago Hospital and high levels of resistance to third generation cephalosporins. In addition to undertaking appropriate infection control measures, there is urgent need for formulation of an antibiotic policy in Uganda to prevent spread of these organisms. This also calls for continuous monitoring and reporting of the presence of such organisms in order to ensure rational and judicious use of antibiotics by clinicians.",9
"Tropical and travel-related dermatomycoses. Part 1: Dermatophytoses . ""Today, tropical and travel-related dermatomycoses must be increasingly anticipated to present in dermatological offices and clinics. Skin infections due to dermatophytes or other fungi may occur after a journey in countries with a high prevalence for the respective causative fungal pathogen, e.g., tinea corporis due to Trichophyton soudanense. Otherwise, more frequently, single infections and even localized outbreaks due to """"exotic"""" or """"imported"""" pathogens of dermatophytoses occur. These epidemics are observed in childcare facilities in Germany and in other European countries. Source of infection are immigrants from Africa and sometimes from Asian countries. Furthermore, African children, and sometimes also adults, are often only asymptomatic carriers of such anthropophilic dermatophytes. Outbreaks of dermatophyte infections with one and more affected children and also adult staff and teachers due to Trichophyton violaceum or Microsporum audouinii in kindergartens and schools are not a rarity these days. Further tropical and travel-associated dermatophytes are Trichophyton tonsurans, Trichophyton schoenleinii, and Trichophyton concentricum. Tinea capitis should be treated in a species-specific manner. Griseofulvin is the treatment of choice for infections due to Microsporum species. In contrast, tinea capitis due to Trichophyton species has to be treated by terbinafine, however, because the agent is not approved for children in Germany, only after receiving written consent of parents. Alternatives are fluconazole and itraconazole. Onset and aggravation of tinea pedis during travel has its origin in a preexisting neglected fungal infection of the feet. In the tropics, exacerbations and secondary bacterial complications of tinea pedis develop under distinctly promoting conditions.""",10
